,"﻿""osmid""",name,amenity,emergency,geological,historic,leisure,man_made,office,shop,sport,tourism,craft,Longitude,Latitude
352,734402,Agip,fuel,,,,,,,,,,,7.6681833,46.6906453
370,1014954,Ciné Rex,cinema,,,,,,,,,,,7.5630412,46.4929077
531,5702030,Migrol,fuel,,,,,,,,,,,7.8274119,46.6805465
532,5702071,Avia,fuel,,,,,,,,,,,7.8445587,46.6834149
653,8204263,Rhonegletscher,pub,,,,,,,,,,,8.3875803,46.577384
690,9020444,Coop,parking,,,,,,,,,,,7.5609149,46.493261
698,9332247,McDonald's,fast_food,,,,,,,,,,,7.8536248,46.6844728
867,11416078,Berghotel Schwarenbach,restaurant,,,,,,,,,hotel,,7.62506,46.4320363
3454,21734559,Hauptbahnhof,bus_station,,,,,,,,,,,9.3706009,47.4234643
4014,24963636,Central,restaurant,,,,,,,,,hotel,,8.5662067,46.6176495
4048,24977789,Arnisee,restaurant,,,,,,,,,,,8.6436726,46.7745393
4049,24977794,Lehnhof,restaurant,,,,,,,,,,,8.6449084,46.880898
4050,24977798,Tempo Libero,cafe,,,,,,,,,,,8.64486,46.8822146
4051,24977799,Apertura,pub,,,,,,,,,,,8.6244846,46.9078166
4052,24977802,Schützenhaus,pub,,,,,,,,,,,8.6646742,46.8758194
4054,24982110,Ospizo del San Gottardo,restaurant,,,,,,,,,hotel,,8.5678973,46.5553576
4164,25178423,Auchan,fuel,,,,,,,,,,,6.916483,47.6411598
4205,25179237,Station Agip Buffard,fuel,,,,,,,,,,,6.1180954,45.910102
4397,25209572,Géant Exincourt,fuel,,,,,,,,,,,6.83999,47.49764
4408,25209614,Station Total,fuel,,,,,,,,,,,6.7774657,47.4797965
4415,25209641,Relais Total Des Allueges,fuel,,,,,,,,,,,6.1177769,45.9092966
4429,25209720,Station Total Du Lac,fuel,,,,,,,,,,,6.1381739,47.6229009
4430,25209723,Station Agip,fuel,,,,,,,,,,,6.4097204,46.0654884
4454,25209833,Station Total,fuel,,,,,,,,,,,7.5556247,47.5931448
4512,25210104,Relais Total Des Trouillets,fuel,,,,,,,,,,,6.2504738,47.3198122
4657,25210812,Station Avia,fuel,,,,,,,,,,,6.0582566,47.2638204
4681,25210941,Relais Total De Diefmatten,fuel,,,,,,,,,,,7.1379505,47.7172165
4688,25210969,Station Agip,fuel,,,,,,,,,,,6.8357964,47.5125533
4689,25210972,Station Total,fuel,,,,,,,,,,,6.0051,45.81893
4785,25211723,Total Les Houches Nord,fuel,,,,,,,,,,,6.8114676,45.8983811
4809,25211876,Station Esso,fuel,,,,,,,,,,,6.1288125,47.3297012
4843,25212176,Station Bp,fuel,,,,,,,,,,,6.0703462,45.8766272
4853,25212236,Renault Deffeuille Automobiles,fuel,,,,,,,,,,,6.3343932,46.9091732
4925,25212749,Station Agip,fuel,,,,,,,,,,,6.3498406,46.9055273
4929,25212771,C. C. Auchan,fuel,,,,,,,,,,,6.0731708,45.939676
4986,25213305,Station Total Service Joanny,fuel,,,,,,,,,,,7.292941,47.7596135
4987,25213310,Station Shell,fuel,,,,,,,,,,,6.0717893,45.8761189
5083,25213755,Station Total,fuel,,,,,,,,,,,7.002,47.509
5088,25213776,Station Total,fuel,,,,,,,,,,,6.5632029,46.0613552
5204,25214316,Relais Total De Marchaux,fuel,,,,,,,,,,,6.1223194,47.3260014
5206,25214357,Station Elf,fuel,,,,,,,,,,,6.6301458,45.9448213
5242,25214550,Station Shell,fuel,,,,,,,,,,,6.4095342,46.064421
5669,25369680,Rütli,ferry_terminal,,,,,,,,,,,8.5933523,46.9704292
6168,25686849,Stansstad,ferry_terminal,,,,,,,,,,,8.3361555,46.9806919
6196,25701890,Temple de Saint-Jean,place_of_worship,,,,,,,,,,,6.1276631,46.2043867
6564,25967380,La Goutte,parking,,,,,,,,,,,6.0527832,46.3588778
6706,26023950,"St. Alban Fähre ""Wild Maa""",ferry_terminal,,,,,,,,,,,7.6023479,47.5567699
6715,26034032,Zollikon ZSG,ferry_terminal,,,,,,,,,,,8.5672752,47.3390453
6716,26034104,Horgen - Meilen,ferry_terminal,,,,,,,,,,,8.6383519,47.2676823
6717,26034121,Uetikon ZSG,ferry_terminal,,,,,,,,,,,8.6755178,47.2585032
6718,26034224,Pfäffikon SZ ZSG,ferry_terminal,,,,,,,,,,,8.7750964,47.2082534
6748,26046771,Rorschach Hafen (See),ferry_terminal,,,,,,,,,,,9.4936373,47.4789372
6758,26054764,BP,fuel,,,,,,,,,,,8.6370138,46.8840991
6759,26054765,Wilhelm Tell,restaurant,,,,,,,,,,,8.6411012,46.8826227
6760,26055227,Kellertheater im Vogelsang,theatre,,,,,,,,,,,8.6409106,46.8842207
